song_id,audio_path,has_ann
746,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/746.mp3,True
1588,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1588.mp3,True
1563,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1563.mp3,True
1205,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1205.mp3,True
791,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/791.mp3,True
949,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/949.mp3,True
1211,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1211.mp3,True
1577,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1577.mp3,True
2056,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/2056.mp3,True
1239,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1239.mp3,True
961,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/961.mp3,True
2042,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/2042.mp3,True
550,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/550.mp3,True
236,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/236.mp3,True
222,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/222.mp3,True
544,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/544.mp3,True
1946,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1946.mp3,True
1952,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1952.mp3,True
1007,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1007.mp3,True
1761,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1761.mp3,True
1775,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1775.mp3,True
1013,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1013.mp3,True
1985,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1985.mp3,True
1749,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1749.mp3,True
1991,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1991.mp3,True
342,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/342.mp3,True
356,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/356.mp3,True
430,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/430.mp3,True
1832,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1832.mp3,True
1826,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1826.mp3,True
1198,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1198.mp3,True
1173,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1173.mp3,True
381,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/381.mp3,True
1615,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1615.mp3,True
1601,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1601.mp3,True
395,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/395.mp3,True
1167,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1167.mp3,True
1629,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1629.mp3,True
140,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/140.mp3,True
632,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/632.mp3,True
154,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/154.mp3,True
82,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/82.mp3,True
96,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/96.mp3,True
168,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/168.mp3,True
1417,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1417.mp3,True
1371,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1371.mp3,True
829,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/829.mp3,True
1365,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1365.mp3,True
69,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/69.mp3,True
197,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/197.mp3,True
1403,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1403.mp3,True
801,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/801.mp3,True
41,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/41.mp3,True
815,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/815.mp3,True
1359,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1359.mp3,True
55,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/55.mp3,True
7,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/7.mp3,True
54,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/54.mp3,True
1358,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/1358.mp3,True
814,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/814.mp3,True
40,/Users/adamdabkowski/PycharmProjects/WIMU-Z4/data/DEAM/audio/40.mp3,True
